parks
Amelia Island State Park
Big Shoals State Park
Big Talbot Island State Park
Cedar Key Museum State Park
Cedar Key Scrub State Reserve
Crystal River Archaeological State Park
Crystal River Preserve State Park
Devil's Millhopper Geological State Park
Dudley Farm Historic State Park
Ellie Schiller Homosassa Springs Wildlife State Park
Fanning Springs State Park
Fernandina Plaza Historic State Park
Forest Capital Museum State Park
Fort Clinch State Park
Fort Cooper State Park
Fort George Island Cultural State Park
Ichetucknee Springs State Park
Lafayette Blue Springs State Park
Little Talbot Island State Park
Madison Blue Spring State Park
Manatee Springs State Park
Marjorie Kinnan Rawlings Historic State Park
Mike Roess Gold Head Branch State Park
O'Leno State Park and River Rise Preserve State Park
Olustee Battlefield Historic State Park
Paynes Prairie Preserve State Park
Price's Scrub State Park
Pumpkin Hill Creek Preserve State Park
Rainbow Springs State Park
Ruth B. Kirby Gilchrist Blue Springs State Park
San Felasco Hammock Preserve State Park
Stephen Foster Folk Culture Center State Park
Suwannee River State Park
Troy Spring State Park
Waccasassa Bay Preserve State Park
Wes Skiles Peacock Springs State Park
Withlacoochee State Trail
Yellow Bluff Fort Historic State Park
Yulee Sugar Mill Ruins Historic State Park
